Year/Month,Max Temperature,Min Temperature,Preciptation
2016-01,M,M,M
2016-02,M,M,M
2016-03,M,M,M
2016-04,M,M,M
2016-05,M,M,M
2016-06,M,M,M
2016-07,M,M,M
2016-08,M,M,M
2016-09,M,M,M
2016-10,M,M,M
2016-11,55,23.1,0.85
2016-12,34.5,8,0.51
2017-01,37.6,10.8,0.22
2017-02,54.6,21.4,T
2017-03,70,29.1,0.4
2017-04,65.3,32.8,1.16
2017-05,72.3,40.4,1.57
2017-06,85.9,54.6,0.1
2017-07,91.5,61.6,0.93
2017-08,84.2,55.1,2.15
2017-09,58.4,43.4,0.19
2017-10,64.1,30.7,0.62
2017-11,59.9,24.1,0.12
2017-12,53.8,14.9,0.02
